model,category,currency,brand,name,size_inches,image,size_cms
65P615,1,AUD,15,"TCL - 65P615 - 65"" UHD 4K Android TV ",65,https://media.binglee.com.au/media/catalog/product/cache/1/small_image/185x185/9df78eab33525d08d6e5fb8d27136e95/t/c/tcl-p615-hero.jpg,165.0
75C815,1,AUD,15,TCL - 75C815 - 75” QLED Android TV,75,https://media.binglee.com.au/media/catalog/product/cache/1/small_image/185x185/9df78eab33525d08d6e5fb8d27136e95/7/5/75c815_01_med.jpg,190.0
40S4,1,AUD,7,"Hisense - 40S4 - 40"" Series 4 FHD Smart TV",40,https://media.binglee.com.au/media/catalog/product/cache/1/small_image/185x185/9df78eab33525d08d6e5fb8d27136e95/3/2/32s4-hero_2.jpg,102.0
49S4,1,AUD,7,"Hisense - 49S4 - 49"" Series 4 FHD Smart TV",49,https://media.binglee.com.au/media/catalog/product/cache/1/small_image/185x185/9df78eab33525d08d6e5fb8d27136e95/3/2/32s4-hero_1.jpg,124.0
40S615,1,AUD,15,TCL - 40S615 - 40” Full HD Android TV  ,40,https://media.binglee.com.au/media/catalog/product/cache/1/small_image/185x185/9df78eab33525d08d6e5fb8d27136e95/t/c/tcl-s615-hero.jpg,102.0
32S4,1,AUD,7,"Hisense - 32S4 - 32"" Series 4 HD Smart TV",32,https://media.binglee.com.au/media/catalog/product/cache/1/small_image/185x185/9df78eab33525d08d6e5fb8d27136e95/3/2/32s4-hero.jpg,81.0
UA75TU8000,1,AUD,13,"Samsung UA75TU8000WXXY 75"" Crystal UHD 4K Smart TV   ",75,https://media.binglee.com.au/media/catalog/product/cache/1/small_image/185x185/9df78eab33525d08d6e5fb8d27136e95/s/a/samsung-ua50tu8000-hero1_4.jpg,190.0
U55H10,1,AUD,2,"CHiQ - U55H10 - 55"" 4K UHD Android TV ",55,https://media.binglee.com.au/media/catalog/product/cache/1/small_image/185x185/9df78eab33525d08d6e5fb8d27136e95/c/h/chiq-u55h10-hero.jpg,140.0
55UN7300PTC,1,AUD,9,"LG 55UN7300PTC 55"" Smart 4K UHD TV - ThinQ™ AI ",55,https://media.binglee.com.au/media/catalog/product/cache/1/small_image/185x185/9df78eab33525d08d6e5fb8d27136e95/5/0/50un7300ptc_1.jpg,140.0
UA55TU8000,1,AUD,13,"Samsung UA55TU8000 55"" Crystal UHD 4K Smart TV ",55,https://media.binglee.com.au/media/catalog/product/cache/1/small_image/185x185/9df78eab33525d08d6e5fb8d27136e95/s/a/samsung-ua50tu8000-hero1_2.jpg,140.0
BP650USG9200,1,AUD,1,"Blaupunkt - 65"" 4K UHD Android TV - BP650USG9200",65,https://media.binglee.com.au/media/catalog/product/cache/1/small_image/185x185/9df78eab33525d08d6e5fb8d27136e95/b/p/bp650usg9200_01_med.jpg,165.0
BP550USG9200,1,AUD,1,"Blaupunkt - 55"" 4K UHD Android TV - BP550USG9200",55,https://media.binglee.com.au/media/catalog/product/cache/1/small_image/185x185/9df78eab33525d08d6e5fb8d27136e95/b/p/bp550usg9200_01_med.jpg,140.0
BP420FSG9200,1,AUD,1,"Blaupunkt - 42"" FHD Android TV - BP420FSG9200",42,https://media.binglee.com.au/media/catalog/product/cache/1/small_image/185x185/9df78eab33525d08d6e5fb8d27136e95/b/p/bp420fsg9200_01_med.jpg,107.0
BP320HSG9200,1,AUD,1,"Blaupunkt - 32"" HD Android TV - BP320HSG9200",32,https://media.binglee.com.au/media/catalog/product/cache/1/small_image/185x185/9df78eab33525d08d6e5fb8d27136e95/b/p/bp320hsg9200_01_med.jpg,81.0
L32K5,1,AUD,2,"CHiQ - L32K5 - 32"" HD Android TV ",32,https://media.binglee.com.au/media/catalog/product/cache/1/small_image/185x185/9df78eab33525d08d6e5fb8d27136e95/l/3/l32k5_01_med.jpg,81.0
UA43TU8000,1,AUD,13,"Samsung UA43TU8000WXXY - 43"" Crystal UHD 4K Smart TV",43,https://media.binglee.com.au/media/catalog/product/cache/1/small_image/185x185/9df78eab33525d08d6e5fb8d27136e95/s/a/samsung-ua50tu8000-hero1_5.jpg,109.0
QA65Q60TA,1,AUD,13,"Samsung QA65Q60TAWXXY 65"" Q60T QLED 4K UHD HDR Smart TV   ",65,https://media.binglee.com.au/media/catalog/product/cache/1/small_image/185x185/9df78eab33525d08d6e5fb8d27136e95/s/a/samsung-q60t-qled-feature1.jpg,165.0
UA50TU8000,1,AUD,13,"Samsung UA50TU8000WXXY 50"" Crystal UHD 4K Smart TV ",50,https://media.binglee.com.au/media/catalog/product/cache/1/small_image/185x185/9df78eab33525d08d6e5fb8d27136e95/s/a/samsung-ua50tu8000-hero1.jpg,127.0
65UN7300PTC,1,AUD,9,"LG 65UN7300PTC - 65"" Smart 4K UHD TV - ThinQ™ AI   ",65,https://media.binglee.com.au/media/catalog/product/cache/1/small_image/185x185/9df78eab33525d08d6e5fb8d27136e95/l/g/lg-un73-hero_1.jpg,165.0
32S615,1,AUD,15,"TCL - 32S615 - 32"" HD Android TV",32,https://media.binglee.com.au/media/catalog/product/cache/1/small_image/185x185/9df78eab33525d08d6e5fb8d27136e95/t/c/tcl-s615-hero_1.jpg,81.0
UA65TU8000,1,AUD,13,"Samsung UA65TU8000WXXY 65"" Crystal UHD 4K Smart TV  ",65,https://media.binglee.com.au/media/catalog/product/cache/1/small_image/185x185/9df78eab33525d08d6e5fb8d27136e95/s/a/samsung-ua50tu8000-hero1_3.jpg,165.0
43UN7300PTC,1,AUD,9,"LG 43UN7300PTC 43"" Smart 4K UHD TV - ThinQ™ AI ",43,https://media.binglee.com.au/media/catalog/product/cache/1/small_image/185x185/9df78eab33525d08d6e5fb8d27136e95/l/g/lg-un73-hero.jpg,109.0
65S8,1,AUD,7,"Hisense - 65S8 - 65"" Series 8 UHD Smart TV",65,https://media.binglee.com.au/media/catalog/product/cache/1/small_image/185x185/9df78eab33525d08d6e5fb8d27136e95/s/8/s8-hero_2.jpg,165.0
UA32N5300A,1,AUD,13,"Samsung - UA32N5300AWXXY - 32"" FHD Smart LED TV ",32,https://media.binglee.com.au/media/catalog/product/cache/1/small_image/185x185/9df78eab33525d08d6e5fb8d27136e95/u/a/ua32n5300awxxy_01_med.jpg,81.0
50UN7300PTC,1,AUD,9,"LG 50UN7300PTC 50"" Smart 4K UHD TV - ThinQ™ AI ",50,https://media.binglee.com.au/media/catalog/product/cache/1/small_image/185x185/9df78eab33525d08d6e5fb8d27136e95/5/0/50un7300ptc.jpg,127.0
U58H10,1,AUD,2,"CHiQ - U58H10 - 58"" 4K UHD Android TV ",58,https://media.binglee.com.au/media/catalog/product/cache/1/small_image/185x185/9df78eab33525d08d6e5fb8d27136e95/u/5/u58h10_01_med.jpg,147.0
QA55Q60TA,1,AUD,13,"Samsung QA55Q60TAWXXY 55"" Q60T QLED 4K UHD HDR Smart TV    ",55,https://media.binglee.com.au/media/catalog/product/cache/1/small_image/185x185/9df78eab33525d08d6e5fb8d27136e95/s/a/samsung-q60t-qled-feature1_1.jpg,140.0
L24H4,1,AUD,2,"CHiQ - L24H4 - 24"" HD TV",24,https://media.binglee.com.au/media/catalog/product/cache/1/small_image/185x185/9df78eab33525d08d6e5fb8d27136e95/l/2/l24h4_01_med.jpg,61.0
QA65Q70TA,1,AUD,13,"Samsung QA65Q70TAWXXY - 65"" Q70T QLED 4K Smart TV - 200Hz  ",65,https://media.binglee.com.au/media/catalog/product/cache/1/small_image/185x185/9df78eab33525d08d6e5fb8d27136e95/s/a/samsung-q70t-qled-feature1_1.jpg,165.0
L40K5,1,AUD,2,"CHiQ - L40K5 - 40"" FHD Android TV",40,https://media.binglee.com.au/media/catalog/product/cache/1/small_image/185x185/9df78eab33525d08d6e5fb8d27136e95/l/4/l40k5_01_med.jpg,102.0
55S8,1,AUD,7,"Hisense - 55S8 - 55"" Series 8 UHD Smart TV",55,https://media.binglee.com.au/media/catalog/product/cache/1/small_image/185x185/9df78eab33525d08d6e5fb8d27136e95/s/8/s8-hero_1.jpg,140.0
KD55X8000H,1,AUD,14,"Sony KD-55X8000H 55"" X8000H 4K Ultra HD HDR Smart Android TV  ",55,https://media.binglee.com.au/media/catalog/product/cache/1/small_image/185x185/9df78eab33525d08d6e5fb8d27136e95/s/o/sony-x80h-hero1_1_2.jpg,140.0
75UN8100PTB,1,AUD,9,"LG 75UN8100PTB 75"" Smart 4K UHD TV - ThinQ™ AI  ",75,https://media.binglee.com.au/media/catalog/product/cache/1/small_image/185x185/9df78eab33525d08d6e5fb8d27136e95/l/g/lg-uhd-un81-hero_1.jpg,190.0
U43H10,1,AUD,2,"CHiQ - U43H10 - 43"" 4K UHD Android TV",43,https://media.binglee.com.au/media/catalog/product/cache/1/small_image/185x185/9df78eab33525d08d6e5fb8d27136e95/c/h/chiq-u55h10-hero_2.jpg,109.0
U65H10,1,AUD,2,"CHiQ - U65H10 - 65"" UHD Android TV",65,https://media.binglee.com.au/media/catalog/product/cache/1/small_image/185x185/9df78eab33525d08d6e5fb8d27136e95/u/6/u65h10_01_med.jpg,165.0
50S8,1,AUD,7,"Hisense - 50S8 - 50"" Series 8 UHD Smart TV",50,https://media.binglee.com.au/media/catalog/product/cache/1/small_image/185x185/9df78eab33525d08d6e5fb8d27136e95/s/8/s8-hero.jpg,127.0
KD49X8000H,1,AUD,14,"Sony - KD-49X8000H - 49"" X8000H 4K Ultra HD HDR Smart Android TV  ",49,https://media.binglee.com.au/media/catalog/product/cache/1/small_image/185x185/9df78eab33525d08d6e5fb8d27136e95/s/o/sony-x80h-hero1_1_4.jpg,124.0
QA75Q60TA,1,AUD,13,"Samsung QA75Q60TAWXXY 75"" Q60T QLED 4K UHD HDR Smart TV    ",75,https://media.binglee.com.au/media/catalog/product/cache/1/small_image/185x185/9df78eab33525d08d6e5fb8d27136e95/s/a/samsung-q60t-qled-feature1_2.jpg,190.0
75S8,1,AUD,7,"Hisense - 75S8 - 75"" Series 8 UHD Smart TV",75,https://media.binglee.com.au/media/catalog/product/cache/1/small_image/185x185/9df78eab33525d08d6e5fb8d27136e95/s/8/s8-hero_3.jpg,190.0
50P715,1,AUD,15,TCL - 50P715 - 50” QUHD Android Smart TV,50,https://media.binglee.com.au/media/catalog/product/cache/1/small_image/185x185/9df78eab33525d08d6e5fb8d27136e95/5/0/50p715_01_med.jpg,127.0
KDL32W660E,1,AUD,14,"Sony - W660E - 32"" FHD LED - Smart TV - KDL-32W660E",32,https://media.binglee.com.au/media/catalog/product/cache/1/small_image/185x185/9df78eab33525d08d6e5fb8d27136e95/s/o/sony-w660e-hero.jpg,81.0
43S8,1,AUD,7,"Hisense - 43S8 - 43"" Series 8 UHD Smart TV ",43,https://media.binglee.com.au/media/catalog/product/cache/1/small_image/185x185/9df78eab33525d08d6e5fb8d27136e95/h/i/hisense-s8-hero.jpg,109.0
OLED55BXPTA,1,AUD,9,"LG OLED55BXPTA - BX 55"" 4K Smart OLED TV w/ AI ThinQ®",55,https://media.binglee.com.au/media/catalog/product/cache/1/small_image/185x185/9df78eab33525d08d6e5fb8d27136e95/o/l/oledbcx-hero.jpg,140.0
L24K3,1,AUD,2,"CHiQ - L24K3 - 24"" HD TV/DVD Combo  ",24,https://media.binglee.com.au/media/catalog/product/cache/1/small_image/185x185/9df78eab33525d08d6e5fb8d27136e95/l/2/l24k3_01_med.jpg,61.0
OLED65CXPTA,1,AUD,9,"LG OLED65CXPTA - 65"" OLED 4K with LG AI ThinQ ",65,https://media.binglee.com.au/media/catalog/product/cache/1/small_image/185x185/9df78eab33525d08d6e5fb8d27136e95/o/l/oled-77-cx-hero_1.jpg,165.0
QA75Q70TA,1,AUD,13,"Samsung QA75Q70TAWXXY - 75"" Q70T QLED 4K Smart TV - 200Hz  ",75,https://media.binglee.com.au/media/catalog/product/cache/1/small_image/185x185/9df78eab33525d08d6e5fb8d27136e95/s/a/samsung-q70t-qled-feature1_2.jpg,190.0
L32K3,1,AUD,2,"CHiQ - L32K3 - 32"" HD TV/DVD Combo",32,https://media.binglee.com.au/media/catalog/product/cache/1/small_image/185x185/9df78eab33525d08d6e5fb8d27136e95/l/3/l32k3_01_med.jpg,81.0
UA82TU8000,1,AUD,13,"Samsung UA82TU8000WXXY 82"" TU8000 Crystal UHD 4K Smart TV  ",82,https://media.binglee.com.au/media/catalog/product/cache/1/small_image/185x185/9df78eab33525d08d6e5fb8d27136e95/s/a/samsung-ua50tu8000-hero1_6.jpg,208.0
65NANO86TNA,1,AUD,9,"LG 65"" NanoCell Smart UHD 4K  TV w/ AI ThinQ®  - 65NANO86TNA   ",65,https://media.binglee.com.au/media/catalog/product/cache/1/small_image/185x185/9df78eab33525d08d6e5fb8d27136e95/l/g/lg-nanocell-nano86-hero.jpg,165.0
65NANO91TNA,1,AUD,9,"LG NanoCell 65NANO91TNA - 65"" Nano 9 Series 4K UHD TV with LG AI ThinQ ",65,https://media.binglee.com.au/media/catalog/product/cache/1/small_image/185x185/9df78eab33525d08d6e5fb8d27136e95/l/g/lg-nanocell-nano91-hero_2.jpg,165.0
QA65Q80TA,1,AUD,13,"Samsung QA65Q80TAWXXY 65"" Q80T QLED 4K UHD HDR Smart TV  - 200Hz   ",65,https://media.binglee.com.au/media/catalog/product/cache/1/small_image/185x185/9df78eab33525d08d6e5fb8d27136e95/s/a/samsung-q80t-qled-hero1.jpg,165.0
65C715,1,AUD,15,TCL - 65C715 - 65” QLED UHD Android Smart TV,65,https://media.binglee.com.au/media/catalog/product/cache/1/small_image/185x185/9df78eab33525d08d6e5fb8d27136e95/6/5/65c715_01_med.jpg,165.0
KD65X8000H,1,AUD,14,"Sony - KD-65X8000H - 65"" X8000H 4K Ultra HD HDR Smart Android TV  ",65,https://media.binglee.com.au/media/catalog/product/cache/1/small_image/185x185/9df78eab33525d08d6e5fb8d27136e95/s/o/sony-x80h-hero1_1_1.jpg,165.0
QA85Q70TA,1,AUD,13,"Samsung QA85Q70TAWXXY - 85"" Q70T QLED 4K Smart TV - 200Hz  ",85,https://media.binglee.com.au/media/catalog/product/cache/1/small_image/185x185/9df78eab33525d08d6e5fb8d27136e95/s/a/samsung-q70t-85-qled-hero.jpg,216.0
43P715,1,AUD,15,TCL - 43P715 - 43” QUHD Android Smart TV,43,https://media.binglee.com.au/media/catalog/product/cache/1/small_image/185x185/9df78eab33525d08d6e5fb8d27136e95/4/3/43p715_01_med.jpg,109.0
QA55Q80TA,1,AUD,13,"Samsung QA55Q80TAWXXY - 55"" Q80T QLED 4K UHD HDR Smart TV  - 200Hz    ",55,https://media.binglee.com.au/media/catalog/product/cache/1/small_image/185x185/9df78eab33525d08d6e5fb8d27136e95/s/a/samsung-q80t-qled-hero1_2.jpg,140.0
KD43X8000H,1,AUD,14,"Sony - KD43X8000H - 43"" X8000H 4K Ultra HD HDR Smart Android TV   ",43,https://media.binglee.com.au/media/catalog/product/cache/1/small_image/185x185/9df78eab33525d08d6e5fb8d27136e95/s/o/sony-x80h-hero1_1_3.jpg,109.0
QA55Q70TA,1,AUD,13,"Samsung QA55Q70TAWXXY 55"" Q70T QLED 4K UHD HDR Smart TV  - 200Hz ",55,https://media.binglee.com.au/media/catalog/product/cache/1/small_image/185x185/9df78eab33525d08d6e5fb8d27136e95/s/a/samsung-q70t-qled-feature1.jpg,140.0
86UN8100PTB,1,AUD,9,"LG 86UN8100PTB 86"" Smart 4K UHD TV - ThinQ™ AI  ",86,https://media.binglee.com.au/media/catalog/product/cache/1/small_image/185x185/9df78eab33525d08d6e5fb8d27136e95/l/g/lg-uhd-un81-hero.jpg,218.0
85S8,1,AUD,7,"Hisense - 85S8 - 85"" Series 8 UHD Smart TV",85,https://media.binglee.com.au/media/catalog/product/cache/1/small_image/185x185/9df78eab33525d08d6e5fb8d27136e95/h/i/hisense-s8-hero_1.jpg,216.0
QA85Q80TA,1,AUD,13,"Samsung QA85Q80TAWXXY 85"" Q80T QLED 4K UHD HDR Smart TV  - 200Hz   ",85,https://media.binglee.com.au/media/catalog/product/cache/1/small_image/185x185/9df78eab33525d08d6e5fb8d27136e95/s/a/samsung-q80t-qled-hero1_3.jpg,216.0
55C715,1,AUD,15,TCL - 55C715 - 55” QLED UHD Android Smart TV,55,https://media.binglee.com.au/media/catalog/product/cache/1/small_image/185x185/9df78eab33525d08d6e5fb8d27136e95/5/5/55c715_01_med.jpg,140.0
65P715,1,AUD,15,TCL - 65P715 - 65” QUHD Android Smart TV ,65,https://media.binglee.com.au/media/catalog/product/cache/1/small_image/185x185/9df78eab33525d08d6e5fb8d27136e95/6/5/65p715_01_med.jpg,165.0
QA43LS03TA,1,AUD,13,"Samsung The Frame 43"" QLED 4K TV - QA43LS03TAWXXY   ",43,https://media.binglee.com.au/media/catalog/product/cache/1/small_image/185x185/9df78eab33525d08d6e5fb8d27136e95/q/a/qa65ls03ta-hero_2.jpg,109.0
QA65LS03TA,1,AUD,13,"Samsung The Frame 65"" QLED 4K TV - QA65LS03TAWXXY  ",65,https://media.binglee.com.au/media/catalog/product/cache/1/small_image/185x185/9df78eab33525d08d6e5fb8d27136e95/q/a/qa65ls03ta-hero.jpg,165.0
QA65Q800TA,1,AUD,13,"Samsung QA65Q800TAWXXY 65"" QLED 8K UHD HDR Smart TV    ",65,https://media.binglee.com.au/media/catalog/product/cache/1/small_image/185x185/9df78eab33525d08d6e5fb8d27136e95/s/a/samsung-q800t-hero1_1.jpg,165.0
KD75X8000H,1,AUD,14,"Sony - KD75X8000H - 75"" X8000H 4K Ultra HD HDR Smart Android TV   ",75,https://media.binglee.com.au/media/catalog/product/cache/1/small_image/185x185/9df78eab33525d08d6e5fb8d27136e95/s/o/sony-x80h-hero7_1.jpg,190.0
50C715,1,AUD,15,TCL - 50C715 - 50” QLED UHD Android Smart TV,50,https://media.binglee.com.au/media/catalog/product/cache/1/small_image/185x185/9df78eab33525d08d6e5fb8d27136e95/5/0/50c715_01_med.jpg,127.0
QA75Q80TA,1,AUD,13,"Samsung QA75Q80TAWXXY 75"" Q80T QLED 4K UHD HDR Smart TV  - 200Hz    ",75,https://media.binglee.com.au/media/catalog/product/cache/1/small_image/185x185/9df78eab33525d08d6e5fb8d27136e95/s/a/samsung-q80t-qled-hero1_1.jpg,190.0
QA55LS03TA,1,AUD,13,"Samsung The Frame 55"" QLED 4K TV - QA55LS03TAWXXY ",55,https://media.binglee.com.au/media/catalog/product/cache/1/small_image/185x185/9df78eab33525d08d6e5fb8d27136e95/q/a/qa65ls03ta-hero_1.jpg,140.0
75P715,1,AUD,15,TCL - 75P715 - 75” QUHD Android Smart TV ,75,https://media.binglee.com.au/media/catalog/product/cache/1/small_image/185x185/9df78eab33525d08d6e5fb8d27136e95/7/5/75p715_01_med.jpg,190.0
KD85X8000H,1,AUD,14,"Sony - KD-85X8000H - 85"" X8000H 4K Ultra HD HDR Smart Android TV  ",85,https://media.binglee.com.au/media/catalog/product/cache/1/small_image/185x185/9df78eab33525d08d6e5fb8d27136e95/s/o/sony-x80h-hero1_1_5.jpg,216.0
QA82Q800TA,1,AUD,13,"Samsung - QA82Q800TAWXXY - 82"" QLED 8K UHD HDR Smart TV   ",82,https://media.binglee.com.au/media/catalog/product/cache/1/small_image/185x185/9df78eab33525d08d6e5fb8d27136e95/s/a/samsung-q800t-hero1_2.jpg,208.0
65NANO95TNA,1,AUD,9,"LG NanoCell 65NANO95TNA - 65"" Nano 9 Series 8K TV​  ",65,https://media.binglee.com.au/media/catalog/product/cache/1/small_image/185x185/9df78eab33525d08d6e5fb8d27136e95/l/g/lg-nano95-hero-1_1.jpg,165.0
